流水號,課號,課程識別碼,班次,課程名稱,學分,授課教師,通識領域,加選方式,上課時間,限制條件,人數上限,外系上限,外校上限,已選上人數,已選上外系人數,登記人數,剩餘名額
03005,FL1004,10283030,05,英文二,3.00,鄺慧琪,,2,二234,,32,0,0,32,0,0,0
03006,FL1008,10283320,13,英文(附一小時英聽)二,3.00,周昱翔,,2,二234,,32,0,0,24,0,0,8
03007,FL1008,10283320,14,英文(附一小時英聽)二,3.00,翁家傑,,2,二345,,32,0,0,29,0,0,3
03008,FL1008,10283320,15,英文(附一小時英聽)二,3.00,廖彥棻,,2,二234,,30,0,0,29,0,0,1
03009,FL1008,10283320,16,英文(附一小時英聽)二,3.00,高瑟濡,,2,二234,,32,0,0,30,0,0,2
03010,FL1008,10283320,34,英文(附一小時英聽)二,3.00,黃子岳,,2,二234,,30,0,0,23,0,0,7
02001,JpnL1002,10780012,01,日文下,3.00,孫愛維,,2,二234,CG1,36,0,0,28,0,1,8
44333,CHIN0004,101001A0,01,服務學習甲,0.00,葉叡宸,,2,,CD1*B20,18,0,0,0,0,26,18
19805,CHIN0004,101001A0,02,服務學習甲,0.00,狄君宏,,2,,CD1*B20,18,0,0,0,0,30,18
74466,CHIN0005,101001B0,01,服務學習乙,0.00,伍振勳,,2,,CD1*B20*AU1,17,0,0,0,0,0,17
46094,CHIN0005,101001B0,02,服務學習乙,0.00,汪詩珮,,2,,CD1*B20*AU1,8,0,0,0,0,13,8
57094,CHIN1920,10113400,,明清小說選讀,2.00,蔡祝青,,2,三34,DD9*AU1,20,0,2,0,0,16,18
57950,CHIN1004,10114102,01,國學導讀下,2.00,史甄陶,,2,一34,CD1*B20,50,0,0,42,0,3,8
76227,CHIN1004,10114102,02,國學導讀下,2.00,羅聖堡,,2,一34,CD1*B21,50,10,0,40,0,0,10
35808,CHIN1064,10114202,,中國歷史與文化下,2.00,楊芳燕,,2,五67,CD1*DD9,25,0,0,9,0,2,16
60873,CHIN1018,10115812,,現代中文及習作一下,3.00,葉叡宸,,2,三234,CD1*DD9,20,0,0,8,0,0,12
17821,CHIN2010,10115822,,現代中文及習作二下,3.00,李馥名,,2,五234,CD1*DD9*AU1,25,0,0,7,0,2,18
35576,CHIN1006,10118102,01,文學概論下,2.00,陳昭瑛,,2,五67,CD1,80,0,0,72,0,5,8
25037,CHIN1072,10118702,,近現代文學史下,2.00,潘少瑜,,2,二67,AU1,50,5,4,19,0,3,27
26530,CHIN1111,10119490,,狂草書法研習與創作,3.00,丁亮,,3,二789,,25,6,4,0,0,50,21
15486,CHIN1020,10119802,,初級中國文字學下,2.00,張宇衛,,2,一34,CD1*DD9*AU1,25,0,0,9,0,2,16
67903,CHIN2002,101211B2,01,文字學乙下,2.00,徐富昌,,2,四34,CD1*B21*AU1,50,0,0,33,0,1,17
82043,CHIN2002,101211B2,02,文字學乙下,2.00,林宏佳,,2,四34,CD1*B20*AU1,50,0,0,30,0,1,20
83953,CHIN1008,101212A2,01,語言學概論甲下,2.00,巫雪如,,2,三34,CD1*B20,50,0,0,45,0,2,5
53551,CHIN1008,101212A2,02,語言學概論甲下,2.00,張麗麗,,2,三34,CD1*B21,50,0,0,42,0,1,8
68817,CHIN2280,10122210,,論語,2.00,周志文,,2,三89,DD9,20,0,0,0,0,30,20
