流水號,課號,課程識別碼,班次,課程名稱,學分,授課教師,通識領域,加選方式,上課時間,限制條件,人數上限,外系上限,外校上限,已選上人數,已選上外系人數,登記人數,剩餘名額
01001,CHIN8013,10180210,01,大學國文：文學鑑賞與寫作（二）,3.00,吳旻旻,,2,五789,,30,0,0,30,30,43,0
01002,CHIN8013,10180210,02,大學國文：文學鑑賞與寫作（二）,3.00,康韻梅,,2,五789,,30,0,0,30,30,16,0
01003,CHIN8013,10180210,03,大學國文：文學鑑賞與寫作（二）,3.00,李文鈺,,2,五789,,30,0,0,30,30,26,0
01004,CHIN8013,10180210,04,大學國文：文學鑑賞與寫作（二）,3.00,陳雀倩,,2,五789,,30,0,0,29,29,34,1
01005,CHIN8013,10180210,05,大學國文：文學鑑賞與寫作（二）,3.00,許育嘉,,2,五789,,30,0,0,29,29,9,1
01006,CHIN8013,10180210,06,大學國文：文學鑑賞與寫作（二）,3.00,吳潔盈,,2,五789,,30,0,0,28,28,11,2
01007,CHIN8013,10180210,13,大學國文：文學鑑賞與寫作（二）,3.00,葉常泓,,2,一789,,30,0,0,30,30,17,0
01070,CHIN8013,10180210,14,大學國文：文學鑑賞與寫作（二）,3.00,汪詩珮,,2,一789,CD1,30,0,0,9,0,0,21
01008,CHIN8013,10180210,15,大學國文：文學鑑賞與寫作（二）,3.00,潘少瑜,,2,一789,,30,0,0,29,29,19,1
01009,CHIN8013,10180210,16,大學國文：文學鑑賞與寫作（二）,3.00,蔡祝青,,2,一789,,30,0,0,29,29,7,1
01010,CHIN8013,10180210,17,大學國文：文學鑑賞與寫作（二）,3.00,李存智,,2,一789,,30,0,0,26,26,9,4
01011,CHIN8013,10180210,18,大學國文：文學鑑賞與寫作（二）,3.00,簡凱廷,,2,一789,,30,0,0,30,30,28,0
01012,CHIN8013,10180210,21,大學國文：文學鑑賞與寫作（二）,3.00,蔡璧名,,2,四789,,30,0,0,30,30,23,0
01069,CHIN8013,10180210,22,大學國文：文學鑑賞與寫作（二）,3.00,劉建志,,2,四789,CD1,30,0,0,27,0,3,3
01013,CHIN8013,10180210,23,大學國文：文學鑑賞與寫作（二）,3.00,高嘉謙,,2,四789,,30,0,0,30,30,14,0
01014,CHIN8013,10180210,24,大學國文：文學鑑賞與寫作（二）,3.00,沈凡玉,,2,四789,,30,0,0,29,29,19,1
01015,CHIN8013,10180210,25,大學國文：文學鑑賞與寫作（二）,3.00,蔡璧名,,2,二89,10,,30,0,0,30,30,16,0
01016,CHIN8013,10180210,26,大學國文：文學鑑賞與寫作（二）,3.00,蔡佩含,,2,二89,10,,30,0,0,28,28,8,2
01017,CHIN8013,10180210,27,大學國文：文學鑑賞與寫作（二）,3.00,曹淑娟,,2,二89,10,,30,0,0,29,29,11,1
01018,CHIN8013,10180210,28,大學國文：文學鑑賞與寫作（二）,3.00,謝佩芬,,2,二89,10,,30,0,0,30,30,9,0
01019,CHIN8013,10180210,29,大學國文：文學鑑賞與寫作（二）,3.00,楊芳燕,,2,一345,,30,0,0,30,30,9,0
01020,CHIN8013,10180210,30,大學國文：文學鑑賞與寫作（二）,3.00,蕭旭府,,2,一345,,30,0,0,30,30,36,0
01021,CHIN8013,10180210,31,大學國文：文學鑑賞與寫作（二）,3.00,佘筠珺,,2,一345,,30,0,0,30,30,19,0
01022,CHIN8013,10180210,34,大學國文：文學鑑賞與寫作（二）,3.00,方韻慈,,2,二345,,30,0,0,29,29,8,1
01023,CHIN8013,10180210,35,大學國文：文學鑑賞與寫作（二）,3.00,張斯翔,,2,三789,,30,0,0,30,30,9,0
01024,CHIN8015,10180220,01,大學國文：文化思想與寫作（二）,3.00,王士銓,,2,五789,,30,0,0,30,30,32,0
01025,CHIN8015,10180220,02,大學國文：文化思想與寫作（二）,3.00,黃奕珍,,2,五789,,30,0,0,28,28,3,2
01026,CHIN8015,10180220,04,大學國文：文化思想與寫作（二）,3.00,曹美秀,,2,五789,,30,0,0,28,28,6,2
01027,CHIN8015,10180220,06,大學國文：文化思想與寫作（二）,3.00,林永勝,,2,五789,,30,0,0,30,30,18,0
01028,CHIN8015,10180220,13,大學國文：文化思想與寫作（二）,3.00,黃啟書,,2,一789,,30,0,0,29,29,9,1
01029,CHIN8015,10180220,14,大學國文：文化思想與寫作（二）,3.00,史甄陶,,2,一789,,30,0,0,30,30,19,0
01030,CHIN8015,10180220,16,大學國文：文化思想與寫作（二）,3.00,伍振勳,,2,一789,,30,0,0,28,28,9,2
01031,CHIN8015,10180220,17,大學國文：文化思想與寫作（二）,3.00,姜義泰,,2,一789,,30,0,0,29,29,8,1
01032,CHIN8015,10180220,18,大學國文：文化思想與寫作（二）,3.00,林永勝,,2,四789,,30,0,0,29,29,14,1
01033,CHIN8015,10180220,19,大學國文：文化思想與寫作（二）,3.00,梁偉賢,,2,四789,,30,0,0,29,29,20,1
01034,CHIN8015,10180220,20,大學國文：文化思想與寫作（二）,3.00,巫雪如,,2,四789,,30,0,0,30,30,33,0
01035,CHIN8015,10180220,21,大學國文：文化思想與寫作（二）,3.00,羅鈴沛,,2,二89,10,,30,0,0,30,30,12,0
01036,CHIN8015,10180220,22,大學國文：文化思想與寫作（二）,3.00,王士銓,,2,二89,10,,30,0,0,30,30,18,0
01037,CHIN8015,10180220,25,大學國文：文化思想與寫作（二）,3.00,梁偉賢,,2,三789,,30,0,0,30,30,14,0
01038,CHIN8017,10180230,02,大學國文：閱讀與寫作（二）,3.00,李馥名,,2,五789,,25,0,0,24,24,7,1
01039,CHIN8017,10180230,03,大學國文：閱讀與寫作（二）,3.00,蔡志彥,,2,五789,,25,0,0,22,22,4,3
01040,CHIN8017,10180230,06,大學國文：閱讀與寫作（二）,3.00,吳曉昀,,2,S一12四12,,25,0,0,22,22,3,3
01041,CHIN8017,10180230,07,大學國文：閱讀與寫作（二）,3.00,沈芳如,,2,S一12四12,,25,0,0,10,10,4,15
01042,CHIN8017,10180230,09,大學國文：閱讀與寫作（二）,3.00,賴昶F,,2,一789,,25,0,0,24,24,10,1
01043,CHIN8017,10180230,10,大學國文：閱讀與寫作（二）,3.00,楊晉綺,,2,一789,,25,0,0,23,23,10,2
01044,CHIN8017,10180230,11,大學國文：閱讀與寫作（二）,3.00,林宏佳,,2,一789,,25,0,0,24,24,6,1
01045,CHIN8017,10180230,12,大學國文：閱讀與寫作（二）,3.00,劉柏正,,2,一789,,25,0,0,8,8,5,17
01046,CHIN8017,10180230,13,大學國文：閱讀與寫作（二）,3.00,陳志信,,2,四789,,25,0,0,25,25,7,0
01047,CHIN8017,10180230,14,大學國文：閱讀與寫作（二）,3.00,李馥名,,2,四789,,25,0,0,25,25,6,0
01048,CHIN8017,10180230,17,大學國文：閱讀與寫作（二）,3.00,賴昶F,,2,二89,10,,25,0,0,25,25,13,0
01049,CHIN8017,10180230,19,大學國文：閱讀與寫作（二）,3.00,羅聖堡,,2,二345,,25,0,0,23,23,10,2
01050,CHIN8017,10180230,21,大學國文：閱讀與寫作（二）,3.00,劉柏正,,2,二345,,25,0,0,10,10,4,15
01051,CHIN8017,10180230,26,大學國文：閱讀與寫作（二）,3.00,魏千鈞,,2,三789,,25,0,0,25,25,10,0
01066,CHIN1084,10181012,01,大學國文：先秦兩漢文選下,3.00,丁亮,,2,一789,CD1*B20,35,0,0,29,0,0,6
01067,CHIN1084,10181012,02,大學國文：先秦兩漢文選下,3.00,張素卿,,2,一789,CD1*B21,35,0,0,34,0,0,1
01068,CHIN1086,10181022,,大學國文：文言文導讀下,3.00,張宇衛,,2,一789,CD1*DD9,25,0,0,7,0,0,18
01052,CHIN8019,10181112,01,大學國文：進階語文下,3.00,尹子玉,,2,五789,DD2,30,0,0,26,26,0,4
01053,CHIN8019,10181112,02,大學國文：進階語文下,3.00,方韻慈,,2,五789,DD2,30,0,0,26,26,0,4
01054,CHIN8019,10181112,03,大學國文：進階語文下,3.00,葉叡宸,,2,S一12四12,DD2,30,0,0,17,17,0,13
01055,CHIN8019,10181112,04,大學國文：進階語文下,3.00,黃文儀,,2,S一12四12,DD2,30,0,0,18,18,0,12
01056,CHIN8019,10181112,05,大學國文：進階語文下,3.00,葉叡宸,,2,一789,DD2,30,0,0,23,23,0,7
01057,CHIN8019,10181112,06,大學國文：進階語文下,3.00,陳建男,,2,一789,DD2,30,0,0,19,19,0,11
01058,CHIN8021,10181122,01,大學國文：中階語文下,3.00,狄君宏,,2,五789,DD2,30,0,0,20,20,0,10
01059,CHIN8021,10181122,02,大學國文：中階語文下,3.00,陳建男,,2,S一12四12,DD2,30,0,0,21,21,0,9
01060,CHIN8021,10181122,03,大學國文：中階語文下,3.00,林貝珊,,2,一789,DD2,30,0,0,18,18,0,12
01061,CHIN8021,10181122,04,大學國文：中階語文下,3.00,狄君宏,,2,四789,DD2,30,0,0,15,15,0,15
01062,CHIN8023,10181132,01,大學國文：初階語文下,3.00,李天祥,,2,三ABC,DD2,30,0,0,18,18,0,12
01063,CHIN8023,10181132,02,大學國文：初階語文下,3.00,魏千鈞,,2,三ABC,DD2,30,0,0,17,17,0,13
01064,CHIN8023,10181132,03,大學國文：初階語文下,3.00,林貝珊,,2,三ABC,DD2,30,0,0,17,17,0,13
01065,CHIN8023,10181132,06,大學國文：初階語文下,3.00,蔡佩含,,2,三ABC,DD2,30,0,0,14,14,0,16
03011,FL1004,10283030,01,英文二,3.00,蔡秀枝,,2,T一12三12,,33,0,0,31,31,0,2
03023,FL1004,10283030,02,英文二,3.00,王寶祥,,2,一,10AB,,32,0,0,32,32,0,0
03024,FL1004,10283030,03,英文二,3.00,鄭暐凡,,2,一,10AB,,32,0,0,32,32,2,0
03005,FL1004,10283030,05,英文二,3.00,鄺慧琪,,2,二234,,32,0,0,32,32,0,0
